iplotScanone_noeff,no effects
iplotScanone_ci,`pxgtype='ci'`
iplotScanone_pxg,`pxgtype='raw'`
iplotMScanone_noeff,no effects
iplotMScanone_eff,with effects
iplotCorr,with scatterplot
iplotCorr_noscat,no scatterplot
